,location,total_sqft,bath,balcony,price,bhk
0,1st Block BEL Layout,1540.0,3,2,85.0,3
1,1st Block HBR Layout,600.0,1,0,45.0,1
2,1st Block HBR Layout,3150.0,4,2,150.0,4
3,1st Block HRBR Layout,1200.0,7,0,235.0,8
4,1st Block HRBR Layout,2400.0,7,3,355.0,7
5,1st Block HRBR Layout,600.0,3,1,90.0,3
6,1st Block HRBR Layout,600.0,3,2,125.0,3
7,1st Block HRBR Layout,600.0,4,2,125.0,3
8,1st Block Jayanagar,2850.0,4,1,428.0,4
9,1st Block Jayanagar,1630.0,3,2,194.0,3
10,1st Block Jayanagar,1200.0,6,2,125.0,6
11,1st Block Jayanagar,1875.0,2,3,235.0,3
12,1st Block Jayanagar,930.0,4,2,85.0,7
13,1st Block Jayanagar,700.0,4,2,104.0,8
14,1st Block Jayanagar,1200.0,2,0,130.0,3
15,1st Block Jayanagar,1235.0,2,2,148.0,2
16,1st Block Jayanagar,2750.0,4,0,413.0,4
17,1st Block Jayanagar,2450.0,4,2,368.0,4
18,1st Block Koramangala,1415.0,2,3,110.0,2
19,1st Block Koramangala,860.0,2,2,65.5,2
20,1st Block Koramangala,3000.0,3,3,300.0,4
21,1st Block Koramangala,2350.0,3,2,210.0,3
22,1st Block Koramangala,3000.0,5,3,500.0,4
24,1st Phase JP Nagar,1875.0,3,1,167.0,3
25,1st Phase JP Nagar,1500.0,5,2,85.0,5
26,1st Phase JP Nagar,2065.0,4,1,210.0,3
28,1st Phase JP Nagar,2059.0,3,2,225.0,3
29,1st Phase JP Nagar,1394.0,2,1,100.0,2
30,1st Phase JP Nagar,1077.0,2,2,93.0,2
31,1st Phase JP Nagar,1566.0,2,0,180.0,2
32,1st Phase JP Nagar,840.0,2,2,50.0,1
33,1st Phase JP Nagar,1590.0,3,3,131.0,3
34,1st Phase JP Nagar,2180.0,3,2,210.0,3
35,1st Phase JP Nagar,1180.0,2,2,88.5,2
36,1st Phase JP Nagar,1200.0,2,2,86.0,2
37,1st Phase JP Nagar,1394.0,2,2,85.0,2
38,1st Phase JP Nagar,2077.0,3,3,175.0,3
40,1st Phase JP Nagar,1205.0,2,1,85.0,2
42,1st Phase JP Nagar,900.0,2,1,75.0,2
43,1st Stage Indira Nagar,1400.0,2,1,67.0,2
44,1st Stage Indira Nagar,1200.0,2,2,55.0,2
45,1st Stage Indira Nagar,940.0,2,1,56.0,2
46,1st Stage Indira Nagar,3000.0,4,2,301.0,4
47,2nd Block Hrbr Layout,1480.0,3,2,90.0,3
